customer_id,Unnamed: 0,age,income,membership_days,total_amount,transaction_count,average_transaction_value,offer completed,offer received,offer viewed,completion_rate,bogo_completed,discount_completed,channel_web_count,channel_email_count,channel_mobile_count,channel_social_count,gender_F,gender_M,gender_O,cluster
0610b486422d4921ae7d2bf64640c50b,1,55,112000.0,376,77.01,3.0,25.67,1.0,2.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,True,False,False,0
78afa995795e4d85b5d9ceeca43f5fef,3,75,100000.0,443,159.27,7.0,22.752857142857145,3.0,4.0,4.0,0.75,3.0,0.0,4.0,7.0,7.0,5.0,True,False,False,3
e2127556f4f64592b11af22de27a7932,5,68,70000.0,91,57.73,3.0,19.243333333333336,2.0,4.0,3.0,0.5,1.0,1.0,5.0,5.0,5.0,2.0,False,True,False,2
389bc3fa690240e798340f5a15918d5c,8,65,53000.0,167,36.43,3.0,12.143333333333333,5.0,6.0,6.0,0.8333333333333334,3.0,2.0,11.0,11.0,11.0,6.0,False,True,False,1
2eeac8d8feae4a8cad5a6af0499a211d,12,58,51000.0,257,15.62,4.0,3.905,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,3.0,3.0,3.0,3.0,False,True,False,0
aa4862eba776480b8bb9c68455b8c2e1,13,61,57000.0,318,85.55,6.0,14.258333333333333,3.0,5.0,5.0,0.6,3.0,0.0,5.0,8.0,7.0,7.0,True,False,False,1
e12aeaf2d47d42479ea1c4ac3d8286c6,14,26,46000.0,1624,56.22,11.0,5.11090909090909,1.0,6.0,1.0,0.1666666666666666,0.0,1.0,1.0,2.0,1.0,1.0,False,True,False,0
31dda685af34476cad5bc968bdb01c53,15,62,71000.0,896,160.25,8.0,20.03125,4.0,6.0,5.0,0.6666666666666666,0.0,4.0,9.0,9.0,8.0,8.0,True,False,False,1
62cf5e10845442329191fc246e7bcea3,16,49,52000.0,1351,144.11,9.0,16.01222222222222,1.0,3.0,2.0,0.3333333333333333,1.0,0.0,0.0,3.0,3.0,3.0,False,True,False,0
6445de3b47274c759400cd68131d91b4,18,57,42000.0,207,19.1,6.0,3.1833333333333336,2.0,5.0,1.0,0.4,1.0,1.0,3.0,3.0,3.0,2.0,False,True,False,0
a448667f336b42c9a66fc5ffd5d73772,19,61,40000.0,86,20.78,7.0,2.968571428571429,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,True,False,False,0
440cf1fd7580490c971d8c651ed962af,20,40,71000.0,813,300.68,16.0,18.7925,5.0,5.0,4.0,1.0,0.0,5.0,9.0,9.0,7.0,6.0,True,False,False,1
4b0da7e80e5945209a1fdddfe813dbe0,21,64,100000.0,320,211.29,7.0,30.18428571428572,3.0,5.0,4.0,0.6,1.0,2.0,4.0,7.0,4.0,3.0,False,True,False,2
c27e0d6ab72c455a8bb66d980963de60,22,78,71000.0,405,155.46,8.0,19.4325,1.0,6.0,6.0,0.1666666666666666,0.0,1.0,5.0,7.0,7.0,5.0,True,False,False,3
f806632c011441378d4646567f357a21,24,42,69000.0,1810,91.4,5.0,18.28,3.0,4.0,4.0,0.75,1.0,2.0,7.0,7.0,7.0,6.0,False,True,False,2
d058f73bf8674a26a95227db098147b1,25,56,88000.0,89,75.62,3.0,25.206666666666667,4.0,6.0,6.0,0.6666666666666666,1.0,3.0,10.0,10.0,6.0,2.0,True,False,False,1
c6c9884912c645429f3333f912b55f44,27,33,52000.0,303,17.9,9.0,1.9888888888888887,1.0,6.0,3.0,0.1666666666666666,0.0,1.0,4.0,4.0,4.0,3.0,True,False,False,0
7429a044884842d6862f516c38b1156f,28,46,59000.0,318,2.88,1.0,2.88,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,False,False,0
ebe7ef46ea6f4963a7dd49f501b26779,29,59,41000.0,1282,52.08,13.0,4.006153846153846,2.0,6.0,5.0,0.3333333333333333,0.0,2.0,5.0,7.0,7.0,4.0,False,True,False,2
5917d13f6fa04286abdf95f4d5cefb1e,30,67,96000.0,1433,206.88,8.0,25.86,4.0,4.0,3.0,1.0,2.0,2.0,6.0,7.0,7.0,7.0,False,True,False,1
d1ede868e29245ea91818a903fec04c6,31,53,52000.0,313,18.74,5.0,3.748,1.0,5.0,3.0,0.2,0.0,1.0,3.0,4.0,4.0,3.0,False,False,True,0
1e9420836d554513ab90eba98552d0a9,32,22,70000.0,304,106.38,6.0,17.73,4.0,6.0,6.0,0.6666666666666666,2.0,2.0,9.0,10.0,8.0,7.0,False,True,False,1
868317b9be554cb18e50bc68484749a2,33,96,89000.0,251,81.92,4.0,20.48,4.0,5.0,2.0,0.8,2.0,2.0,5.0,6.0,6.0,4.0,True,False,False,3
f082d80f0aac47a99173ba8ef8fc1909,34,40,33000.0,747,40.94,14.0,2.924285714285714,1.0,6.0,4.0,0.1666666666666666,1.0,0.0,3.0,5.0,5.0,3.0,False,True,False,2
