customer_id,Unnamed: 0,gender,age,became_member_on,income,membership_days,total_amount,transaction_count,average_transaction_value,offer completed,offer received,offer viewed
0610b486422d4921ae7d2bf64640c50b,1,F,55,2017-07-15,112000.0,376,77.01,3.0,25.67,1.0,2.0,0.0
78afa995795e4d85b5d9ceeca43f5fef,3,F,75,2017-05-09,100000.0,443,159.27,7.0,22.752857142857145,3.0,4.0,4.0
e2127556f4f64592b11af22de27a7932,5,M,68,2018-04-26,70000.0,91,57.730000000000004,3.0,19.243333333333336,2.0,4.0,3.0
389bc3fa690240e798340f5a15918d5c,8,M,65,2018-02-09,53000.0,167,36.43,3.0,12.143333333333333,5.0,6.0,6.0
2eeac8d8feae4a8cad5a6af0499a211d,12,M,58,2017-11-11,51000.0,257,15.62,4.0,3.905,1.0,3.0,2.0
aa4862eba776480b8bb9c68455b8c2e1,13,F,61,2017-09-11,57000.0,318,85.55,6.0,14.258333333333333,3.0,5.0,5.0
e12aeaf2d47d42479ea1c4ac3d8286c6,14,M,26,2014-02-13,46000.0,1624,56.22,11.0,5.11090909090909,1.0,6.0,1.0
31dda685af34476cad5bc968bdb01c53,15,F,62,2016-02-11,71000.0,896,160.25,8.0,20.03125,4.0,6.0,5.0
62cf5e10845442329191fc246e7bcea3,16,M,49,2014-11-13,52000.0,1351,144.10999999999999,9.0,16.01222222222222,1.0,3.0,2.0
6445de3b47274c759400cd68131d91b4,18,M,57,2017-12-31,42000.0,207,19.1,6.0,3.1833333333333336,2.0,5.0,1.0
a448667f336b42c9a66fc5ffd5d73772,19,F,61,2018-05-01,40000.0,86,20.78,7.0,2.968571428571429,0.0,3.0,2.0
440cf1fd7580490c971d8c651ed962af,20,F,40,2016-05-04,71000.0,813,300.68,16.0,18.7925,5.0,5.0,4.0
4b0da7e80e5945209a1fdddfe813dbe0,21,M,64,2017-09-09,100000.0,320,211.29000000000002,7.0,30.184285714285718,3.0,5.0,4.0
c27e0d6ab72c455a8bb66d980963de60,22,F,78,2017-06-16,71000.0,405,155.46,8.0,19.4325,1.0,6.0,6.0
f806632c011441378d4646567f357a21,24,M,42,2013-08-11,69000.0,1810,91.4,5.0,18.28,3.0,4.0,4.0
d058f73bf8674a26a95227db098147b1,25,F,56,2018-04-28,88000.0,89,75.62,3.0,25.206666666666667,4.0,6.0,6.0
c6c9884912c645429f3333f912b55f44,27,F,33,2017-09-26,52000.0,303,17.9,9.0,1.9888888888888887,1.0,6.0,3.0
